SCORPION;price;reference;width;height;depth;weight;name
SCORPION;63.000000;0;0.000000;0.000000;0.000000;0.000000;"Scorpion 0"
SCORPION;63.000000;0;0.000000;0.000000;0.000000;0.000000;"Scorpion 0"
SCORPION;63.000000;0;0.000000;0.000000;0.000000;0.000000;"Scorpion 0"
SCORPION;63.000000;0;0.000000;0.000000;0.000000;0.000000;"Scorpion 0"
SCORPION;63.000000;0;0.000000;0.000000;0.000000;0.000000;"Scorpion 17"
SCORPION;63.000000;0;0.000000;0.000000;0.000000;0.000000;"Scorpion 17"
SCORPION;63.000000;0;0.000000;0.000000;0.000000;0.000000;"Scorpion 17"
SCORPION;63.000000;0;0.000000;0.000000;0.000000;0.000000;"Scorpion 17"
SCORPION;119.000000;0;0.000000;0.000000;0.000000;0.000000;"Scorpion 0"
SCORPION;119.000000;0;0.000000;0.000000;0.000000;0.000000;"Scorpion 0"
SCORPION;119.000000;0;0.000000;0.000000;0.000000;0.000000;"Scorpion 0"
SCORPION;119.000000;0;0.000000;0.000000;0.000000;0.000000;"Scorpion 0"
SCORPION;73.000000;0;0.000000;0.000000;0.000000;0.000000;"Scorpion 0"
SCORPION;73.000000;0;0.000000;0.000000;0.000000;0.000000;"Scorpion 0"
SCORPION;73.000000;0;0.000000;0.000000;0.000000;0.000000;"Scorpion 0"
SCORPION;73.000000;0;0.000000;0.000000;0.000000;0.000000;"Scorpion 0"
SCORPION;58.000000;1.9;0.000000;0.000000;0.000000;0.000000;"Scorpion 3.4"
SCORPION;58.000000;1.9;0.000000;0.000000;0.000000;0.000000;"Scorpion 3.4"
SCORPION;58.000000;1.9;0.000000;0.000000;0.000000;0.000000;"Scorpion 3.4"
SCORPION;58.000000;1.9;0.000000;0.000000;0.000000;0.000000;"Scorpion 3.4"
SCORPION;147.420000;100ASC1;0.000000;0.000000;0.000000;0.000000;"Scorpion Single 100mm carbon fibre Ascari trim"
SCORPION;147.420000;100ASC1;0.000000;0.000000;0.000000;0.000000;"Scorpion Single 100mm carbon fibre Ascari trim"
SCORPION;147.420000;100ASC1;0.000000;0.000000;0.000000;0.000000;"Scorpion Single 100mm carbon fibre Ascari trim"
SCORPION;147.420000;100ASC1;0.000000;0.000000;0.000000;0.000000;"Scorpion Single 100mm carbon fibre Ascari trim"
SCORPION;287.280000;100ASC2;0.000000;0.000000;0.000000;0.000000;"Scorpion Twin 100mm carbon fibre Ascari trim"
SCORPION;287.280000;100ASC2;0.000000;0.000000;0.000000;0.000000;"Scorpion Twin 100mm carbon fibre Ascari trim"
SCORPION;287.280000;100ASC2;0.000000;0.000000;0.000000;0.000000;"Scorpion Twin 100mm carbon fibre Ascari trim"
SCORPION;287.280000;100ASC2;0.000000;0.000000;0.000000;0.000000;"Scorpion Twin 100mm carbon fibre Ascari trim"
SCORPION;567.000000;100ASC4;0.000000;0.000000;0.000000;0.000000;"Scorpion Quad 100mm carbon fibre Ascari trim"
SCORPION;567.000000;100ASC4;0.000000;0.000000;0.000000;0.000000;"Scorpion Quad 100mm carbon fibre Ascari trim"
SCORPION;567.000000;100ASC4;0.000000;0.000000;0.000000;0.000000;"Scorpion Quad 100mm carbon fibre Ascari trim"
SCORPION;567.000000;100ASC4;0.000000;0.000000;0.000000;0.000000;"Scorpion Quad 100mm carbon fibre Ascari trim"
SCORPION;299.880000;114ASC2;0.000000;0.000000;0.000000;0.000000;"Scorpion Twin 114mm carbon fibre Ascari trim"
SCORPION;299.880000;114ASC2;0.000000;0.000000;0.000000;0.000000;"Scorpion Twin 114mm carbon fibre Ascari trim"
SCORPION;299.880000;114ASC2;0.000000;0.000000;0.000000;0.000000;"Scorpion Twin 114mm carbon fibre Ascari trim"
SCORPION;299.880000;114ASC2;0.000000;0.000000;0.000000;0.000000;"Scorpion Twin 114mm carbon fibre Ascari trim"
SCORPION;42.000000;188.6;0.000000;0.000000;0.000000;0.000000;"Scorpion 0"
SCORPION;42.000000;188.6;0.000000;0.000000;0.000000;0.000000;"Scorpion 0"
SCORPION;42.000000;188.6;0.000000;0.000000;0.000000;0.000000;"Scorpion 0"
SCORPION;42.000000;188.6;0.000000;0.000000;0.000000;0.000000;"Scorpion 0"
SCORPION;42.000000;188.6;0.000000;0.000000;0.000000;0.000000;"Scorpion 2.31"
SCORPION;42.000000;188.6;0.000000;0.000000;0.000000;0.000000;"Scorpion 2.31"
SCORPION;42.000000;188.6;0.000000;0.000000;0.000000;0.000000;"Scorpion 2.31"
SCORPION;42.000000;188.6;0.000000;0.000000;0.000000;0.000000;"Scorpion 2.31"
SCORPION;141.120000;90ASC1;0.000000;0.000000;0.000000;0.000000;"Scorpion Single 90mm carbon fibre Ascari trim"
SCORPION;141.120000;90ASC1;0.000000;0.000000;0.000000;0.000000;"Scorpion Single 90mm carbon fibre Ascari trim"
SCORPION;141.120000;90ASC1;0.000000;0.000000;0.000000;0.000000;"Scorpion Single 90mm carbon fibre Ascari trim"
SCORPION;141.120000;90ASC1;0.000000;0.000000;0.000000;0.000000;"Scorpion Single 90mm carbon fibre Ascari trim"
SCORPION;274.680000;90ASC2;0.000000;0.000000;0.000000;0.000000;"Scorpion Twin 90mm carbon fibre Ascari trim"
SCORPION;274.680000;90ASC2;0.000000;0.000000;0.000000;0.000000;"Scorpion Twin 90mm carbon fibre Ascari trim"
SCORPION;274.680000;90ASC2;0.000000;0.000000;0.000000;0.000000;"Scorpion Twin 90mm carbon fibre Ascari trim"
SCORPION;274.680000;90ASC2;0.000000;0.000000;0.000000;0.000000;"Scorpion Twin 90mm carbon fibre Ascari trim"
SCORPION;541.800000;90ASC4;0.000000;0.000000;0.000000;0.000000;"Scorpion Quad 90mm carbon fibre Ascari trim"
SCORPION;541.800000;90ASC4;0.000000;0.000000;0.000000;0.000000;"Scorpion Quad 90mm carbon fibre Ascari trim"
SCORPION;541.800000;90ASC4;0.000000;0.000000;0.000000;0.000000;"Scorpion Quad 90mm carbon fibre Ascari trim"
SCORPION;541.800000;90ASC4;0.000000;0.000000;0.000000;0.000000;"Scorpion Quad 90mm carbon fibre Ascari trim"
SCORPION;290.800000;AP54SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Underbelly Slip-on"
SCORPION;290.800000;AP54SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Underbelly Slip-on"
SCORPION;290.800000;AP54SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Underbelly Slip-on"
SCORPION;290.800000;AP54SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Underbelly Slip-on"
SCORPION;660.330500;BM1000CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion RP1-GP Slip-on"
SCORPION;660.330500;BM1000CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion RP1-GP Slip-on"
SCORPION;660.330500;BM1000CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion RP1-GP Slip-on"
SCORPION;660.330500;BM1000CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion RP1-GP Slip-on"
SCORPION;627.310000;BM1000TEM;0.000000;0.000000;0.000000;0.000000;"Scorpion RP1-GP Slip-on"
SCORPION;627.310000;BM1000TEM;0.000000;0.000000;0.000000;0.000000;"Scorpion RP1-GP Slip-on"
SCORPION;627.310000;BM1000TEM;0.000000;0.000000;0.000000;0.000000;"Scorpion RP1-GP Slip-on"
SCORPION;627.310000;BM1000TEM;0.000000;0.000000;0.000000;0.000000;"Scorpion RP1-GP Slip-on"
SCORPION;577.685900;BM1001CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion RP1-GP Slip-on"
SCORPION;577.685900;BM1001CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion RP1-GP Slip-on"
SCORPION;577.685900;BM1001CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion RP1-GP Slip-on"
SCORPION;577.685900;BM1001CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion RP1-GP Slip-on"
SCORPION;548.800000;BM1001TEM;0.000000;0.000000;0.000000;0.000000;"Scorpion RP1-GP Slip-on"
SCORPION;548.800000;BM1001TEM;0.000000;0.000000;0.000000;0.000000;"Scorpion RP1-GP Slip-on"
SCORPION;548.800000;BM1001TEM;0.000000;0.000000;0.000000;0.000000;"Scorpion RP1-GP Slip-on"
SCORPION;548.800000;BM1001TEM;0.000000;0.000000;0.000000;0.000000;"Scorpion RP1-GP Slip-on"
SCORPION;577.690000;BM1005CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion RP1-GP Slip-on"
SCORPION;577.690000;BM1005CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion RP1-GP Slip-on"
SCORPION;577.690000;BM1005CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion RP1-GP Slip-on"
SCORPION;577.690000;BM1005CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion RP1-GP Slip-on"
SCORPION;577.690000;BM1005TEM;0.000000;0.000000;0.000000;0.000000;"Scorpion RP1-GP Slip-on"
SCORPION;577.690000;BM1005TEM;0.000000;0.000000;0.000000;0.000000;"Scorpion RP1-GP Slip-on"
