Active;Name *;Price tax excluded;Tax rules ID;Wholesale price;Discount ( % );Reference #;Supplier;Manufacturer;EAN13;Width;Height;Depth;Weight;Tags (xyz...);Meta title;Meta keywords;URL rewritten;ID store
0;Akrapovič - Hoodie Black - Red Men's S;81;1;60.75;15;801528;SPEED STREET;Akrapovič;3831113540179;0;0;0;0;Akrapovič,801528;Akrapovič - Hoodie Black - Red Men's S;Akrapovič,801528;akrapovic-801528;1
1;Akrapovič - Hoodie Black - Red Men's M;70.2;1;52.65;15;801746;SPEED STREET;Akrapovič;3831113565745;0;0;0;0;Akrapovič,801746;Akrapovič - Hoodie Black - Red Men's M;Akrapovič,801746;akrapovic-801746;1
0;Akrapovič - Hoodie Black - Red Men's L;70.2;1;52.65;15;801747;SPEED STREET;Akrapovič;3831113565752;0;0;0;0;Akrapovič,801747;Akrapovič - Hoodie Black - Red Men's L;Akrapovič,801747;akrapovic-801747;1
0;Akrapovič - Hoodie Black - Red Men's XL;70.2;1;52.65;15;801748;SPEED STREET;Akrapovič;3831113565769;0;0;0;0;Akrapovič,801748;Akrapovič - Hoodie Black - Red Men's XL;Akrapovič,801748;akrapovic-801748;1
0;Akrapovič - Hoodie Black - Red Men's XXL;70.2;1;52.65;15;801749;SPEED STREET;Akrapovič;3831113565776;0;0;0;0;Akrapovič,801749;Akrapovič - Hoodie Black - Red Men's XXL;Akrapovič,801749;akrapovic-801749;1
0;Akrapovič - Corpo Zip Hoodie Black Men's XS;70.2;1;52.65;15;801750;SPEED STREET;Akrapovič;3831113565783;0;0;0;0;Akrapovič,801750;Akrapovič - Corpo Zip Hoodie Black Men's XS;Akrapovič,801750;akrapovic-801750;1
0;Akrapovič - Corpo Zip Hoodie Black Men's S;82;1;61.5;15;802054;SPEED STREET;Akrapovič;3831126414665;0;0;0;0;Akrapovič,802054;Akrapovič - Corpo Zip Hoodie Black Men's S;Akrapovič,802054;akrapovic-802054;1
0;Akrapovič - Corpo Zip Hoodie Black Men's M;82;1;61.5;15;802055;SPEED STREET;Akrapovič;3831126414672;0;0;0;0;Akrapovič,802055;Akrapovič - Corpo Zip Hoodie Black Men's M;Akrapovič,802055;akrapovic-802055;1
0;Akrapovič - Corpo Zip Hoodie Black Men's L;82;1;61.5;15;802056;SPEED STREET;Akrapovič;3831126414689;0;0;0;0;Akrapovič,802056;Akrapovič - Corpo Zip Hoodie Black Men's L;Akrapovič,802056;akrapovic-802056;1
1;Akrapovič - Corpo Zip Hoodie Black Men's XL;82;1;61.5;15;802057;SPEED STREET;Akrapovič;3831126414696;0;0;0;0;Akrapovič,802057;Akrapovič - Corpo Zip Hoodie Black Men's XL;Akrapovič,802057;akrapovic-802057;1
