Active;Name *;Price tax excluded;Tax rules ID;Wholesale price;Reference #;Supplier;Manufacturer;EAN13;Width;Height;Depth;Weight;Tags (xyz...);Meta title;Meta keywords;URL rewritten;ID store
1;Slip-On Line (SS);958.58;1;718.935;M-FI/SS/1H;Speed Street Sl;Akrapovic;3.83E+12;0;0;0;0;Slip-On,Line,SS,M-FI/SS/1H,Akrapovic;Slip-On Line (SS);Slip-On,Line,SS,M-FI/SS/1H,Akrapovic;Akrapovic-M-FISS1H;1
1;Slip-On Line (SS);958.58;1;718.935;M-FI/SS/1H/1;Speed Street Sl;Akrapovic;3.83E+12;0;0;0;0;Slip-On,Line,SS,M-FI/SS/1H/1,Akrapovic;Slip-On Line (SS);Slip-On,Line,SS,M-FI/SS/1H/1,Akrapovic;Akrapovic-M-FISS1H1;1
1;Akrapovic Sound Kit;523.91;1;392.9325;P-HF1321;Speed Street Sl;Akrapovic;3.83E+12;0;0;0;0;Akrapovic,Sound,Kit,P-HF1321,Akrapovic;Akrapovic Sound Kit;Akrapovic,Sound,Kit,P-HF1321,Akrapovic;Akrapovic-P-HF1321;1
1;Evolution Line (Titanium);5750;1;4312.5;S-AU/TI/24H;Speed Street Sl;Akrapovic;3.83E+12;0;0;0;0;Evolution,Line,Titanium,S-AU/TI/24H,Akrapovic;Evolution Line (Titanium);Evolution,Line,Titanium,S-AU/TI/24H,Akrapovic;Akrapovic-S-AUTI24H;1
1;Rear Carbon Fibre Diffuser - High Gloss;1215;1;911.25;DI-AU/CA/2/G;Speed Street Sl;Akrapovic;3.83E+12;0;0;0;0;Rear,Carbon,Fibre,Diffuser,-,High,Gloss,DI-AU/CA/2/G,Akrapovic;Rear Carbon Fibre Diffuser - High Gloss;Rear,Carbon,Fibre,Diffuser,-,High,Gloss,DI-AU/CA/2/G,Akrapovic;Akrapovic-DI-AUCA2G;1
1;Akrapovic Sound Kit;987.97;1;740.9775;P-HF877;Speed Street Sl;Akrapovic;3.83E+12;0;0;0;0;Akrapovic,Sound,Kit,P-HF877,Akrapovic;Akrapovic Sound Kit;Akrapovic,Sound,Kit,P-HF877,Akrapovic;Akrapovic-P-HF877;1
1;Evolution Link pipe set (SS);743.86;1;557.895;E-BM/SS/1;Speed Street Sl;Akrapovic;3.83E+12;0;0;0;0;Evolution,Link,pipe,set,SS,E-BM/SS/1,Akrapovic;Evolution Link pipe set (SS);Evolution,Link,pipe,set,SS,E-BM/SS/1,Akrapovic;Akrapovic-E-BMSS1;1
1;Downpipe w/o Cat (SS);1899.45;1;1424.5875;DP-BM/SS/9;Speed Street Sl;Akrapovic;3.83E+12;0;0;0;0;Downpipe,w/o,Cat,SS,DP-BM/SS/9,Akrapovic;Downpipe w/o Cat (SS);Downpipe,w/o,Cat,SS,DP-BM/SS/9,Akrapovic;Akrapovic-DP-BMSS9;1
1;Rear Chopped Carbon Fibre Diffuser - Matte;1465;1;1098.75;DI-BM/CA/10/CF;Speed Street Sl;Akrapovic;3.83E+12;0;0;0;0;Rear,Chopped,Carbon,Fibre,Diffuser,-,Matte,DI-BM/CA/10/CF,Akrapovic;Rear Chopped Carbon Fibre Diffuser - Matte;Rear,Chopped,Carbon,Fibre,Diffuser,-,Matte,DI-BM/CA/10/CF,Akrapovic;Akrapovic-DI-BMCA10CF;1
1;Slip-On Line (Titanium);3581.9;1;2686.425;S-BM/T/15H;Speed Street Sl;Akrapovic;3.83E+12;0;0;0;0;Slip-On,Line,Titanium,S-BM/T/15H,Akrapovic;Slip-On Line (Titanium);Slip-On,Line,Titanium,S-BM/T/15H,Akrapovic;Akrapovic-S-BMT15H;1
1;Akrapovic Sound Kit;537.94;1;403.455;P-HF874;Speed Street Sl;Akrapovic;3.83E+12;0;0;0;0;Akrapovic,Sound,Kit,P-HF874,Akrapovic;Akrapovic Sound Kit;Akrapovic,Sound,Kit,P-HF874,Akrapovic;Akrapovic-P-HF874;1
1;Downpipe w Cat (SS);2162.8;1;1622.1;DP-TY/SS/1;Speed Street Sl;Akrapovic;3.83E+12;0;0;0;0;Downpipe,w,Cat,SS,DP-TY/SS/1,Akrapovic;Downpipe w Cat (SS);Downpipe,w,Cat,SS,DP-TY/SS/1,Akrapovic;Akrapovic-DP-TYSS1;1
1;Hoodie Akrapovic Black - Red Men's XXL;70.2;1;52.65;801750;Speed Street Sl;Akrapovic;3.83E+12;0;0;0;0;Hoodie,Akrapovic,Black,-,Red,Men's,XXL,801750,Akrapovic;Hoodie Akrapovic Black - Red Men's XXL;Hoodie,Akrapovic,Black,-,Red,Men's,XXL,801750,Akrapovic;Akrapovic-801750;1
1;Logo Trucker Cap;26;1;19.5;802282;Speed Street Sl;Akrapovic;3.83E+12;0;0;0;0;Logo,Trucker,Cap,802282,Akrapovic;Logo Trucker Cap;Logo,Trucker,Cap,802282,Akrapovic;Akrapovic-802282;1
1;Lifestyle T-shirt Race Proven Men's Grey XL;30.13;1;22.5975;801776;Speed Street Sl;Akrapovic;3.83E+12;0;0;0;0;Lifestyle,T-shirt,Race,Proven,Men's,Grey,XL,801776,Akrapovic;Lifestyle T-shirt Race Proven Men's Grey XL;Lifestyle,T-shirt,Race,Proven,Men's,Grey,XL,801776,Akrapovic;Akrapovic-801776;1
1;Leather Pencil Case - black;34.78;1;26.085;801726;Speed Street Sl;Akrapovic;3.83E+12;0;0;0;0;Leather,Pencil,Case,-,black,801726,Akrapovic;Leather Pencil Case - black;Leather,Pencil,Case,-,black,801726,Akrapovic;Akrapovic-801726;1
1;BMW Car Exhaust Flyer 2019;0.38;1;0.285;801852;Speed Street Sl;Akrapovic;3.83E+12;0;0;0;0;BMW,Car,Exhaust,Flyer,2019,801852,Akrapovic;BMW Car Exhaust Flyer 2019;BMW,Car,Exhaust,Flyer,2019,801852,Akrapovic;Akrapovic-801852;1
1;Akrapovic Lifestyle Magazine, Issue 36-EN, April 2024;1.93;1;1.4475;802342;Speed Street Sl;Akrapovic;3.83E+12;0;0;0;0;Akrapovic,Lifestyle,Magazine,,Issue,36-EN,,April,2024,802342,Akrapovic;Akrapovic Lifestyle Magazine, Issue 36-EN, April 2024;Akrapovic,Lifestyle,Magazine,,Issue,36-EN,,April,2024,802342,Akrapovic;Akrapovic-802342;1
1;Easy Lock Floor Tiles;702;1;526.5;801433;Speed Street Sl;Akrapovic;3.83E+12;0;0;0;0;Easy,Lock,Floor,Tiles,801433,Akrapovic;Easy Lock Floor Tiles;Easy,Lock,Floor,Tiles,801433,Akrapovic;Akrapovic-801433;1
1;Counter Display with sample muffler;175.55;1;131.6625;P-CM-CDM;Speed Street Sl;Akrapovic;3.83E+12;0;0;0;0;Counter,Display,with,sample,muffler,P-CM-CDM,Akrapovic;Counter Display with sample muffler;Counter,Display,with,sample,muffler,P-CM-CDM,Akrapovic;Akrapovic-P-CM-CDM;1
