Active;Name *;Price tax excluded;Tax rules ID;Wholesale price;Reference #;Supplier;Manufacturer;EAN13;Width;Height;Depth;Weight;Tags (xyz...);Meta title;Meta keywords;URL rewritten;ID store
1;Eventuri Twin 100mm carbon fibre Ascari trim;287.28;78;143.64;100ASC2;Scorpion Redpower Ltd;Scorpion;8486470699708;0;0;0;0;Eventuri,Twin,100mm,carbon,fibre,Ascari,trim,100ASC2,Scorpion;Eventuri Twin 100mm carbon fibre Ascari trim;Eventuri,Twin,100mm,carbon,fibre,Ascari,trim,100ASC2,Scorpion;Scorpion-100ASC2;3
1;Eventuri Quad 100mm carbon fibre Ascari trim;567;78;283.5;100ASC4;Scorpion Redpower Ltd;Scorpion;8486470699876;;;;;Eventuri,Quad,100mm,carbon,fibre,Ascari,trim,100ASC4,Scorpion;Eventuri Quad 100mm carbon fibre Ascari trim;Eventuri,Quad,100mm,carbon,fibre,Ascari,trim,100ASC4,Scorpion;Scorpion-100ASC4;3
1;Eventuri Quad 90mm carbon fibre Ascari trim;541.8;78;270.9;90ASC4;Scorpion Redpower Ltd;Scorpion;8486470699562;;;;;Eventuri,Quad,90mm,carbon,fibre,Ascari,trim,90ASC4,Scorpion;Eventuri Quad 90mm carbon fibre Ascari trim;Eventuri,Quad,90mm,carbon,fibre,Ascari,trim,90ASC4,Scorpion;Scorpion-90ASC4;3
1;Eventuri Single 100mm carbon fibre Ascari trim;147.42;78;73.71;100ASC1;Scorpion Redpower Ltd;Scorpion;8486470699630;;;;;Eventuri,Single,100mm,carbon,fibre,Ascari,trim,100ASC1,Scorpion;Eventuri Single 100mm carbon fibre Ascari trim;Eventuri,Single,100mm,carbon,fibre,Ascari,trim,100ASC1,Scorpion;Scorpion-100ASC1;3
1;Eventuri Single 90mm carbon fibre Ascari trim;141.12;78;70.56;90ASC1;Scorpion Redpower Ltd;Scorpion;8486470699326;;;;;Eventuri,Single,90mm,carbon,fibre,Ascari,trim,90ASC1,Scorpion;Eventuri Single 90mm carbon fibre Ascari trim;Eventuri,Single,90mm,carbon,fibre,Ascari,trim,90ASC1,Scorpion;Scorpion-90ASC1;3
1;Eventuri Twin 114mm carbon fibre Ascari trim;299.88;78;149.94;114ASC2;Scorpion Redpower Ltd;Scorpion;8486470719802;;;;;Eventuri,Twin,114mm,carbon,fibre,Ascari,trim,114ASC2,Scorpion;Eventuri Twin 114mm carbon fibre Ascari trim;Eventuri,Twin,114mm,carbon,fibre,Ascari,trim,114ASC2,Scorpion;Scorpion-114ASC2;3
1;Eventuri Twin 90mm carbon fibre Ascari trim;274.68;78;137.34;90ASC2;Scorpion Redpower Ltd;Scorpion;8486470699494;;;;;Eventuri,Twin,90mm,carbon,fibre,Ascari,trim,90ASC2,Scorpion;Eventuri Twin 90mm carbon fibre Ascari trim;Eventuri,Twin,90mm,carbon,fibre,Ascari,trim,90ASC2,Scorpion;Scorpion-90ASC2;3
1;Eventuri Exhaust Valve Delete Module - Single;25;78;12.5;SCEXVDM;Scorpion Redpower Ltd;Scorpion;8486470803716;;;;;Eventuri,Exhaust,Valve,Delete,Module,-,Single,SCEXVDM,Scorpion;Eventuri Exhaust Valve Delete Module - Single;Eventuri,Exhaust,Valve,Delete,Module,-,Single,SCEXVDM,Scorpion;Scorpion-SCEXVDM;3
1;Eventuri Exhaust Valve Delete Module - Twin Pack;50;78;25;SCEXVDM2;Scorpion Redpower Ltd;Scorpion;8486470803648;;;;;Eventuri,Exhaust,Valve,Delete,Module,-,Twin,Pack,SCEXVDM2,Scorpion;Eventuri Exhaust Valve Delete Module - Twin Pack;Eventuri,Exhaust,Valve,Delete,Module,-,Twin,Pack,SCEXVDM2,Scorpion;Scorpion-SCEXVDM2;3
1;Eventuri De-cat downpipe;229.85;78;114.925;SAUC076;Scorpion Redpower Ltd;Scorpion;8486470371086;;;;;Eventuri,De-cat,downpipe,SAUC076,Scorpion;Eventuri De-cat downpipe;Eventuri,De-cat,downpipe,SAUC076,Scorpion;Scorpion-SAUC076;3
