Active;Name *;Price tax excluded;Tax rules ID;Wholesale price;Reference #;Supplier;Manufacturer;EAN13;Width;Height;Depth;Weight;Tags (xyz...);Meta title;Meta keywords;URL rewritten;ID store;;Name to clean;;Prices to clean;;Clean references;;;Tags to clean
1;Scorpion Twin 100mm carbon fibre Ascari trim;287.28;78;143.64;100ASC2;Scorpion Redpower Ltd;Scorpion;8486470699708;0;0;0;0;Scorpion,Twin,100mm,carbon,fibre,Ascari,trim,100ASC2,Scorpion;Scorpion Twin 100mm carbon fibre Ascari trim;Scorpion,Twin,100mm,carbon,fibre,Ascari,trim,100ASC2,Scorpion;Scorpion-100ASC2;3;;Twin 100mm carbon fibre Ascari trim;;287.28;;100ASC2;;;Scorpion Twin 100mm carbon fibre Ascari trim,100ASC2,Scorpion
1;Scorpion Quad 100mm carbon fibre Ascari trim;567;78;283.5;100ASC4;Scorpion Redpower Ltd;Scorpion;8486470699876;;;;;Scorpion,Quad,100mm,carbon,fibre,Ascari,trim,100ASC4,Scorpion;Scorpion Quad 100mm carbon fibre Ascari trim;Scorpion,Quad,100mm,carbon,fibre,Ascari,trim,100ASC4,Scorpion;Scorpion-100ASC4;3;;Quad 100mm carbon fibre Ascari trim;;567;;100ASC4;;;Scorpion Quad 100mm carbon fibre Ascari trim,100ASC4,Scorpion
1;Scorpion Quad 90mm carbon fibre Ascari trim;541.8;78;270.9;90ASC4;Scorpion Redpower Ltd;Scorpion;8486470699562;;;;;Scorpion,Quad,90mm,carbon,fibre,Ascari,trim,90ASC4,Scorpion;Scorpion Quad 90mm carbon fibre Ascari trim;Scorpion,Quad,90mm,carbon,fibre,Ascari,trim,90ASC4,Scorpion;Scorpion-90ASC4;3;;Quad 90mm carbon fibre Ascari trim;;541.8;;90ASC4;;;Scorpion Quad 90mm carbon fibre Ascari trim,90ASC4,Scorpion
1;Scorpion Single 100mm carbon fibre Ascari trim;147.42;78;73.71;100ASC1;Scorpion Redpower Ltd;Scorpion;8486470699630;;;;;Scorpion,Single,100mm,carbon,fibre,Ascari,trim,100ASC1,Scorpion;Scorpion Single 100mm carbon fibre Ascari trim;Scorpion,Single,100mm,carbon,fibre,Ascari,trim,100ASC1,Scorpion;Scorpion-100ASC1;3;;Single 100mm carbon fibre Ascari trim;;147.42;;100ASC1;;;Scorpion Single 100mm carbon fibre Ascari trim,100ASC1,Scorpion
1;Scorpion Single 90mm carbon fibre Ascari trim;141.12;78;70.56;90ASC1;Scorpion Redpower Ltd;Scorpion;8486470699326;;;;;Scorpion,Single,90mm,carbon,fibre,Ascari,trim,90ASC1,Scorpion;Scorpion Single 90mm carbon fibre Ascari trim;Scorpion,Single,90mm,carbon,fibre,Ascari,trim,90ASC1,Scorpion;Scorpion-90ASC1;3;;Single 90mm carbon fibre Ascari trim;;141.12;;90ASC1;;;Scorpion Single 90mm carbon fibre Ascari trim,90ASC1,Scorpion
1;Scorpion Twin 114mm carbon fibre Ascari trim;299.88;78;149.94;114ASC2;Scorpion Redpower Ltd;Scorpion;8486470719802;;;;;Scorpion,Twin,114mm,carbon,fibre,Ascari,trim,114ASC2,Scorpion;Scorpion Twin 114mm carbon fibre Ascari trim;Scorpion,Twin,114mm,carbon,fibre,Ascari,trim,114ASC2,Scorpion;Scorpion-114ASC2;3;;Twin 114mm carbon fibre Ascari trim;;299.88;;114ASC2;;;Scorpion Twin 114mm carbon fibre Ascari trim,114ASC2,Scorpion
1;Scorpion Twin 90mm carbon fibre Ascari trim;274.68;78;137.34;90ASC2;Scorpion Redpower Ltd;Scorpion;8486470699494;;;;;Scorpion,Twin,90mm,carbon,fibre,Ascari,trim,90ASC2,Scorpion;Scorpion Twin 90mm carbon fibre Ascari trim;Scorpion,Twin,90mm,carbon,fibre,Ascari,trim,90ASC2,Scorpion;Scorpion-90ASC2;3;;Twin 90mm carbon fibre Ascari trim;;274.68;;90ASC2;;;Scorpion Twin 90mm carbon fibre Ascari trim,90ASC2,Scorpion
1;Scorpion Exhaust Valve Delete Module - Single;25;78;12.5;SCEXVDM;Scorpion Redpower Ltd;Scorpion;8486470803716;;;;;Scorpion,Exhaust,Valve,Delete,Module,-,Single,SCEXVDM,Scorpion;Scorpion Exhaust Valve Delete Module - Single;Scorpion,Exhaust,Valve,Delete,Module,-,Single,SCEXVDM,Scorpion;Scorpion-SCEXVDM;3;;Exhaust Valve Delete Module - Single;;25;;SCEXVDM;;;Scorpion Exhaust Valve Delete Module - Single,SCEXVDM,Scorpion
1;Scorpion Exhaust Valve Delete Module - Single;25;78;12.5;SCEXVDM;Scorpion Redpower Ltd;Scorpion;8486470803716;;;;;Scorpion,Exhaust,Valve,Delete,Module,-,Single,SCEXVDM,Scorpion;Scorpion Exhaust Valve Delete Module - Single;Scorpion,Exhaust,Valve,Delete,Module,-,Single,SCEXVDM,Scorpion;Scorpion-SCEXVDM;3;;Exhaust Valve Delete Module - Single;;25;;SCEXVDM;;;Scorpion Exhaust Valve Delete Module - Single,SCEXVDM,Scorpion
1;Scorpion Exhaust Valve Delete Module - Twin Pack;50;78;25;SCEXVDM2;Scorpion Redpower Ltd;Scorpion;8486470803648;;;;;Scorpion,Exhaust,Valve,Delete,Module,-,Twin,Pack,SCEXVDM2,Scorpion;Scorpion Exhaust Valve Delete Module - Twin Pack;Scorpion,Exhaust,Valve,Delete,Module,-,Twin,Pack,SCEXVDM2,Scorpion;Scorpion-SCEXVDM2;3;;Exhaust Valve Delete Module - Twin Pack;;50;;SCEXVDM2;;;Scorpion Exhaust Valve Delete Module - Twin Pack,SCEXVDM2,Scorpion
1;Scorpion Exhaust Valve Delete Module - Twin Pack;50;78;25;SCEXVDM2;Scorpion Redpower Ltd;Scorpion;8486470803648;;;;;Scorpion,Exhaust,Valve,Delete,Module,-,Twin,Pack,SCEXVDM2,Scorpion;Scorpion Exhaust Valve Delete Module - Twin Pack;Scorpion,Exhaust,Valve,Delete,Module,-,Twin,Pack,SCEXVDM2,Scorpion;Scorpion-SCEXVDM2;3;;Exhaust Valve Delete Module - Twin Pack;;50;;SCEXVDM2;;;Scorpion Exhaust Valve Delete Module - Twin Pack,SCEXVDM2,Scorpion
1;Scorpion De-cat downpipe;229.85;78;114.925;SAUC076;Scorpion Redpower Ltd;Scorpion;8486470371086;;;;;Scorpion,De-cat,downpipe,SAUC076,Scorpion;Scorpion De-cat downpipe;Scorpion,De-cat,downpipe,SAUC076,Scorpion;Scorpion-SAUC076;3;;De-cat downpipe;;229.85;;SAUC076;;;Scorpion De-cat downpipe,SAUC076,Scorpion
1;Scorpion Downpipe with a high flow sports catalyst;576.35;78;288.175;SAUX076;Scorpion Redpower Ltd;Scorpion;8486470371154;;;;;Scorpion,Downpipe,with,a,high,flow,sports,catalyst,SAUX076,Scorpion;Scorpion Downpipe with a high flow sports catalyst;Scorpion,Downpipe,with,a,high,flow,sports,catalyst,SAUX076,Scorpion;Scorpion-SAUX076;3;;Downpipe with a high flow sports catalyst;;576.35;;SAUX076;;;Scorpion Downpipe with a high flow sports catalyst,SAUX076,Scorpion
1;Scorpion De-cat Section;267.68;78;133.84;SAUC036;Scorpion Redpower Ltd;Scorpion;8486470250206;;;;;Scorpion,De-cat,Section,SAUC036,Scorpion;Scorpion De-cat Section;Scorpion,De-cat,Section,SAUC036,Scorpion;Scorpion-SAUC036;3;;De-cat Section;;267.68;;SAUC036;;;Scorpion De-cat Section,SAUC036,Scorpion
1;Scorpion Sports-cat Section;593.63;78;296.815;SAUX036;Scorpion Redpower Ltd;Scorpion;8486470253580;;;;;Scorpion,Sports-cat,Section,SAUX036,Scorpion;Scorpion Sports-cat Section;Scorpion,Sports-cat,Section,SAUX036,Scorpion;Scorpion-SAUX036;3;;Sports-cat Section;;593.63;;SAUX036;;;Scorpion Sports-cat Section,SAUX036,Scorpion
1;Scorpion Non-resonated cat-back system ;1509.65;78;754.825;SAUS073;Scorpion Redpower Ltd;Scorpion;8486470352726;;;;;Scorpion,Non-resonated,cat-back,system,,SAUS073,Scorpion;Scorpion Non-resonated cat-back system ;Scorpion,Non-resonated,cat-back,system,,SAUS073,Scorpion;Scorpion-SAUS073;3;;Non-resonated cat-back system ;;1509.65;;SAUS073;;;Scorpion Non-resonated cat-back system ,SAUS073,Scorpion
1;Scorpion Non-resonated cat-back system ;1747.6;78;873.8;SAUS073C;Scorpion Redpower Ltd;Scorpion;8486470352894;;;;;Scorpion,Non-resonated,cat-back,system,,SAUS073C,Scorpion;Scorpion Non-resonated cat-back system ;Scorpion,Non-resonated,cat-back,system,,SAUS073C,Scorpion;Scorpion-SAUS073C;3;;Non-resonated cat-back system ;;1747.6;;SAUS073C;;;Scorpion Non-resonated cat-back system ,SAUS073C,Scorpion
1;Scorpion Resonated cat-back system ;1664.31;78;832.155;SAU073;Scorpion Redpower Ltd;Scorpion;8486470353198;;;;;Scorpion,Resonated,cat-back,system,,SAU073,Scorpion;Scorpion Resonated cat-back system ;Scorpion,Resonated,cat-back,system,,SAU073,Scorpion;Scorpion-SAU073;3;;Resonated cat-back system ;;1664.31;;SAU073;;;Scorpion Resonated cat-back system ,SAU073,Scorpion
1;Scorpion Resonated cat-back system ;1902.25;78;951.125;SAU073C;Scorpion Redpower Ltd;Scorpion;8486470353266;;;;;Scorpion,Resonated,cat-back,system,,SAU073C,Scorpion;Scorpion Resonated cat-back system ;Scorpion,Resonated,cat-back,system,,SAU073C,Scorpion;Scorpion-SAU073C;3;;Resonated cat-back system ;;1902.25;;SAU073C;;;Scorpion Resonated cat-back system ,SAU073C,Scorpion
1;Scorpion De-cat Downpipes;922.85;78;461.425;SAUC092;Scorpion Redpower Ltd;Scorpion;8486470711332;;;;;Scorpion,De-cat,Downpipes,SAUC092,Scorpion;Scorpion De-cat Downpipes;Scorpion,De-cat,Downpipes,SAUC092,Scorpion;Scorpion-SAUC092;3;;De-cat Downpipes;;922.85;;SAUC092;;;Scorpion De-cat Downpipes,SAUC092,Scorpion
1;Scorpion Front Section;680;78;340;SAUP088;Scorpion Redpower Ltd;Scorpion;8486470800982;;;;;Scorpion,Front,Section,SAUP088,Scorpion;Scorpion Front Section;Scorpion,Front,Section,SAUP088,Scorpion;Scorpion-SAUP088;3;;Front Section;;680;;SAUP088;;;Scorpion Front Section,SAUP088,Scorpion
1;Scorpion Non-resonated half system;2115.75;78;1057.875;SAUS088;Scorpion Redpower Ltd;Scorpion;8486470410990;;;;;Scorpion,Non-resonated,half,system,SAUS088,Scorpion;Scorpion Non-resonated half system;Scorpion,Non-resonated,half,system,SAUS088,Scorpion;Scorpion-SAUS088;3;;Non-resonated half system;;2115.75;;SAUS088;;;Scorpion Non-resonated half system,SAUS088,Scorpion
1;Scorpion Non-resonated half system;2564.02;78;1282.01;SAUS088CF;Scorpion Redpower Ltd;Scorpion;8486470694826;;;;;Scorpion,Non-resonated,half,system,SAUS088CF,Scorpion;Scorpion Non-resonated half system;Scorpion,Non-resonated,half,system,SAUS088CF,Scorpion;Scorpion-SAUS088CF;3;;Non-resonated half system;;2564.02;;SAUS088CF;;;Scorpion Non-resonated half system,SAUS088CF,Scorpion
1;Scorpion Resonated half system;2679.52;78;1339.76;SAU088CF;Scorpion Redpower Ltd;Scorpion;8486470694758;;;;;Scorpion,Resonated,half,system,SAU088CF,Scorpion;Scorpion Resonated half system;Scorpion,Resonated,half,system,SAU088CF,Scorpion;Scorpion-SAU088CF;3;;Resonated half system;;2679.52;;SAU088CF;;;Scorpion Resonated half system,SAU088CF,Scorpion
1;Scorpion Resonated half system;2220.75;78;1110.375;SAU088;Scorpion Redpower Ltd;Scorpion;8486470410754;;;;;Scorpion,Resonated,half,system,SAU088,Scorpion;Scorpion Resonated half system;Scorpion,Resonated,half,system,SAU088,Scorpion;Scorpion-SAU088;3;;Resonated half system;;2220.75;;SAU088;;;Scorpion Resonated half system,SAU088,Scorpion
1;Scorpion Non-resonated secondary cat-back system;1064.48;78;532.24;SAUS114;Scorpion Redpower Ltd;Scorpion;8486470819038;;;;;Scorpion,Non-resonated,secondary,cat-back,system,SAUS114,Scorpion;Scorpion Non-resonated secondary cat-back system;Scorpion,Non-resonated,secondary,cat-back,system,SAUS114,Scorpion;Scorpion-SAUS114;3;;Non-resonated secondary cat-back system;;1064.48;;SAUS114;;;Scorpion Non-resonated secondary cat-back system,SAUS114,Scorpion
1;Scorpion Non-resonated secondary cat-back system;1122.8;78;561.4;SAUS114C;Scorpion Redpower Ltd;Scorpion;8486470819106;;;;;Scorpion,Non-resonated,secondary,cat-back,system,SAUS114C,Scorpion;Scorpion Non-resonated secondary cat-back system;Scorpion,Non-resonated,secondary,cat-back,system,SAUS114C,Scorpion;Scorpion-SAUS114C;3;;Non-resonated secondary cat-back system;;1122.8;;SAUS114C;;;Scorpion Non-resonated secondary cat-back system,SAUS114C,Scorpion
1;Scorpion Non-resonated secondary cat-back system;1220.6;78;610.3;SAUS114CF;Scorpion Redpower Ltd;Scorpion;8486470819274;;;;;Scorpion,Non-resonated,secondary,cat-back,system,SAUS114CF,Scorpion;Scorpion Non-resonated secondary cat-back system;Scorpion,Non-resonated,secondary,cat-back,system,SAUS114CF,Scorpion;Scorpion-SAUS114CF;3;;Non-resonated secondary cat-back system;;1220.6;;SAUS114CF;;;Scorpion Non-resonated secondary cat-back system,SAUS114CF,Scorpion
1;Scorpion Secondary cat replacement pipes;208.18;78;104.09;SAUC030;Scorpion Redpower Ltd;Scorpion;8486470249866;;;;;Scorpion,Secondary,cat,replacement,pipes,SAUC030,Scorpion;Scorpion Secondary cat replacement pipes;Scorpion,Secondary,cat,replacement,pipes,SAUC030,Scorpion;Scorpion-SAUC030;3;;Secondary cat replacement pipes;;208.18;;SAUC030;;;Scorpion Secondary cat replacement pipes,SAUC030,Scorpion
1;Scorpion Secondary de-cat ;272.42;78;136.21;SAUC054;Scorpion Redpower Ltd;Scorpion;8486470344110;;;;;Scorpion,Secondary,de-cat,,SAUC054,Scorpion;Scorpion Secondary de-cat ;Scorpion,Secondary,de-cat,,SAUC054,Scorpion;Scorpion-SAUC054;3;;Secondary de-cat ;;272.42;;SAUC054;;;Scorpion Secondary de-cat ,SAUC054,Scorpion
1;Scorpion Non-res cat/gpf-back system without valves;1435.88;78;717.94;SAUS080CF;Scorpion Redpower Ltd;Scorpion;8486470797404;;;;;Scorpion,Non-res,cat/gpf-back,system,without,valves,SAUS080CF,Scorpion;Scorpion Non-res cat/gpf-back system without valves;Scorpion,Non-res,cat/gpf-back,system,without,valves,SAUS080CF,Scorpion;Scorpion-SAUS080CF;3;;Non-res cat/gpf-back system without valves;;1435.88;;SAUS080CF;;;Scorpion Non-res cat/gpf-back system without valves,SAUS080CF,Scorpion
1;Scorpion Resonated cat/gpf-back system without valves;1528.49;78;764.245;SAU080CF;Scorpion Redpower Ltd;Scorpion;8486470756050;;;;;Scorpion,Resonated,cat/gpf-back,system,without,valves,SAU080CF,Scorpion;Scorpion Resonated cat/gpf-back system without valves;Scorpion,Resonated,cat/gpf-back,system,without,valves,SAU080CF,Scorpion;Scorpion-SAU080CF;3;;Resonated cat/gpf-back system without valves;;1528.49;;SAU080CF;;;Scorpion Resonated cat/gpf-back system without valves,SAU080CF,Scorpion
1;Scorpion Non-res cat/gpf-back system with valves;1897.88;78;948.94;SAUS079CF;Scorpion Redpower Ltd;Scorpion;8486470797336;;;;;Scorpion,Non-res,cat/gpf-back,system,with,valves,SAUS079CF,Scorpion;Scorpion Non-res cat/gpf-back system with valves;Scorpion,Non-res,cat/gpf-back,system,with,valves,SAUS079CF,Scorpion;Scorpion-SAUS079CF;3;;Non-res cat/gpf-back system with valves;;1897.88;;SAUS079CF;;;Scorpion Non-res cat/gpf-back system with valves,SAUS079CF,Scorpion
1;Scorpion Resonated cat/gpf-back system with valves;1990.49;78;995.245;SAU079CF;Scorpion Redpower Ltd;Scorpion;8486470797268;;;;;Scorpion,Resonated,cat/gpf-back,system,with,valves,SAU079CF,Scorpion;Scorpion Resonated cat/gpf-back system with valves;Scorpion,Resonated,cat/gpf-back,system,with,valves,SAU079CF,Scorpion;Scorpion-SAU079CF;3;;Resonated cat/gpf-back system with valves;;1990.49;;SAU079CF;;;Scorpion Resonated cat/gpf-back system with valves,SAU079CF,Scorpion
1;Scorpion De-cat downpipe;772.7;78;386.35;SAUC079;Scorpion Redpower Ltd;Scorpion;8486470381290;;;;;Scorpion,De-cat,downpipe,SAUC079,Scorpion;Scorpion De-cat downpipe;Scorpion,De-cat,downpipe,SAUC079,Scorpion;Scorpion-SAUC079;3;;De-cat downpipe;;772.7;;SAUC079;;;Scorpion De-cat downpipe,SAUC079,Scorpion
1;Scorpion Downpipe with a high flow sports catalyst;980.6;78;490.3;SAUX079;Scorpion Redpower Ltd;Scorpion;8486470381368;;;;;Scorpion,Downpipe,with,a,high,flow,sports,catalyst,SAUX079,Scorpion;Scorpion Downpipe with a high flow sports catalyst;Scorpion,Downpipe,with,a,high,flow,sports,catalyst,SAUX079,Scorpion;Scorpion-SAUX079;3;;Downpipe with a high flow sports catalyst;;980.6;;SAUX079;;;Scorpion Downpipe with a high flow sports catalyst,SAUX079,Scorpion
1;Scorpion De-cat downpipe;835.7;78;417.85;SAUC106;Scorpion Redpower Ltd;Scorpion;8486470780956;;;;;Scorpion,De-cat,downpipe,SAUC106,Scorpion;Scorpion De-cat downpipe;Scorpion,De-cat,downpipe,SAUC106,Scorpion;Scorpion-SAUC106;3;;De-cat downpipe;;835.7;;SAUC106;;;Scorpion De-cat downpipe,SAUC106,Scorpion
1;Scorpion Downpipe with sports catalyst;1043.6;78;521.8;SAUX106;Scorpion Redpower Ltd;Scorpion;8486470780888;;;;;Scorpion,Downpipe,with,sports,catalyst,SAUX106,Scorpion;Scorpion Downpipe with sports catalyst;Scorpion,Downpipe,with,sports,catalyst,SAUX106,Scorpion;Scorpion-SAUX106;3;;Downpipe with sports catalyst;;1043.6;;SAUX106;;;Scorpion Downpipe with sports catalyst,SAUX106,Scorpion
1;Scorpion Non-res cat-back system with valves;1875.7;78;937.85;SAUS106CF;Scorpion Redpower Ltd;Scorpion;8486470780642;;;;;Scorpion,Non-res,cat-back,system,with,valves,SAUS106CF,Scorpion;Scorpion Non-res cat-back system with valves;Scorpion,Non-res,cat-back,system,with,valves,SAUS106CF,Scorpion;Scorpion-SAUS106CF;3;;Non-res cat-back system with valves;;1875.7;;SAUS106CF;;;Scorpion Non-res cat-back system with valves,SAUS106CF,Scorpion
1;Scorpion Non-res cat-back system without valves;1409.5;78;704.75;SAUS107CF;Scorpion Redpower Ltd;Scorpion;8486470780710;;;;;Scorpion,Non-res,cat-back,system,without,valves,SAUS107CF,Scorpion;Scorpion Non-res cat-back system without valves;Scorpion,Non-res,cat-back,system,without,valves,SAUS107CF,Scorpion;Scorpion-SAUS107CF;3;;Non-res cat-back system without valves;;1409.5;;SAUS107CF;;;Scorpion Non-res cat-back system without valves,SAUS107CF,Scorpion
1;Scorpion Resonated cat-back system with valves;1968.31;78;984.155;SAU106CF;Scorpion Redpower Ltd;Scorpion;8486470780406;;;;;Scorpion,Resonated,cat-back,system,with,valves,SAU106CF,Scorpion;Scorpion Resonated cat-back system with valves;Scorpion,Resonated,cat-back,system,with,valves,SAU106CF,Scorpion;Scorpion-SAU106CF;3;;Resonated cat-back system with valves;;1968.31;;SAU106CF;;;Scorpion Resonated cat-back system with valves,SAU106CF,Scorpion
1;Scorpion Resonated cat-back system without valves;1502.11;78;751.055;SAU107CF;Scorpion Redpower Ltd;Scorpion;8486470780574;;;;;Scorpion,Resonated,cat-back,system,without,valves,SAU107CF,Scorpion;Scorpion Resonated cat-back system without valves;Scorpion,Resonated,cat-back,system,without,valves,SAU107CF,Scorpion;Scorpion-SAU107CF;3;;Resonated cat-back system without valves;;1502.11;;SAU107CF;;;Scorpion Resonated cat-back system without valves,SAU107CF,Scorpion
1;Scorpion De-cat downpipe (GPF removed);829.5;78;414.75;SAUC089;Scorpion Redpower Ltd;Scorpion;8486470684780;;;;;Scorpion,De-cat,downpipe,GPF,removed,SAUC089,Scorpion;Scorpion De-cat downpipe (GPF removed);Scorpion,De-cat,downpipe,GPF,removed,SAUC089,Scorpion;Scorpion-SAUC089;3;;De-cat downpipe (GPF removed);;829.5;;SAUC089;;;Scorpion De-cat downpipe (GPF removed),SAUC089,Scorpion
