Active;Name ;Price tax excluded;Tax rules ID;Wholesale price;Reference #;Supplier;Manufacturer;Tags (xyz...);Meta title;Meta keywords;URL rewritten;ID store
1;CATALOGUE Adhesive;70.794;78;35.397;T50-20-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Adhesive,T50-20-1,Accexxon;CATALOGUE Adhesive;CATALOGUE,Adhesive,T50-20-1,Accexxon;Accexxon-T50-20-1;3
1;CATALOGUE Adhesive;66.194;78;33.097;T50-10-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Adhesive,T50-10-1,Accexxon;CATALOGUE Adhesive;CATALOGUE,Adhesive,T50-10-1,Accexxon;Accexxon-T50-10-1;3
1;CATALOGUE Matte Black;87.4;78;43.7;R10-10-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Matte,Black,R10-10-1,Accexxon;CATALOGUE Matte Black;CATALOGUE,Matte,Black,R10-10-1,Accexxon;Accexxon-R10-10-1;3
1;CATALOGUE Gloss Black;137.08;78;68.54;R10-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R10-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R10-10-2,Accexxon;Accexxon-R10-10-2;3
1;CATALOGUE Matte Black;87.4;78;43.7;R09-10-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Matte,Black,R09-10-1,Accexxon;CATALOGUE Matte Black;CATALOGUE,Matte,Black,R09-10-1,Accexxon;Accexxon-R09-10-1;3
1;CATALOGUE Gloss Black;137.08;78;68.54;R09-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R09-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R09-10-2,Accexxon;Accexxon-R09-10-2;3
1;CATALOGUE Matte Black;87.4;78;43.7;R22-10-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Matte,Black,R22-10-1,Accexxon;CATALOGUE Matte Black;CATALOGUE,Matte,Black,R22-10-1,Accexxon;Accexxon-R22-10-1;3
1;CATALOGUE Gloss Black;137.08;78;68.54;R22-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R22-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R22-10-2,Accexxon;Accexxon-R22-10-2;3
1;CATALOGUE Matte Black;87.4;78;43.7;R13-10-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Matte,Black,R13-10-1,Accexxon;CATALOGUE Matte Black;CATALOGUE,Matte,Black,R13-10-1,Accexxon;Accexxon-R13-10-1;3
1;CATALOGUE Gloss Black;137.08;78;68.54;R13-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R13-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R13-10-2,Accexxon;Accexxon-R13-10-2;3
1;CATALOGUE Matte Black;110.354;78;55.177;R06-10-1;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Matte,Black,R06-10-1,Accexxon;CATALOGUE Matte Black;CATALOGUE,Matte,Black,R06-10-1,Accexxon;Accexxon-R06-10-1;3
1;CATALOGUE Gloss Black;137.954;78;68.977;R06-10-2;Acexxon International Co. Ltd;Accexxon;CATALOGUE,Gloss,Black,R06-10-2,Accexxon;CATALOGUE Gloss Black;CATALOGUE,Gloss,Black,R06-10-2,Accexxon;Accexxon-R06-10-2;3
