Active;Name ;Price tax excluded;Tax rules ID;Wholesale price;Reference #;Supplier;Manufacturer;EAN13;Width;Height;Depth;Weight;Tags (xyz...);Meta title;Meta keywords;URL rewritten;ID store
1;Mishimoto Borne D-Ring Shackle Set, Black;21;78;11.55;BNDR-BK;Resource Intl Automotive LT;Mishimoto;840197709917;15.24;16.51;22.86;0.96;Mishimoto,Borne,D-Ring,Shackle,Set,,Black,BNDR-BK,Mishimoto;Mishimoto Borne D-Ring Shackle Set, Black;Mishimoto,Borne,D-Ring,Shackle,Set,,Black,BNDR-BK,Mishimoto;Mishimoto-BNDR-BK;3
1;Mishimoto Borne D-Ring Shackle Set, Blue;21;78;11.55;BNDR-BL;Resource Intl Automotive LT;Mishimoto;840197709924;15.24;16.51;22.86;0.96;Mishimoto,Borne,D-Ring,Shackle,Set,,Blue,BNDR-BL,Mishimoto;Mishimoto Borne D-Ring Shackle Set, Blue;Mishimoto,Borne,D-Ring,Shackle,Set,,Blue,BNDR-BL,Mishimoto;Mishimoto-BNDR-BL;3
1;Mishimoto Borne D-Ring Shackle Set, Grey;21;78;11.55;BNDR-GR;Resource Intl Automotive LT;Mishimoto;840197709931;15.24;16.51;22.86;0.96;Mishimoto,Borne,D-Ring,Shackle,Set,,Grey,BNDR-GR,Mishimoto;Mishimoto Borne D-Ring Shackle Set, Grey;Mishimoto,Borne,D-Ring,Shackle,Set,,Grey,BNDR-GR,Mishimoto;Mishimoto-BNDR-GR;3
1;Mishimoto Borne D-Ring Shackle Set, Red;21;78;11.55;BNDR-RD;Resource Intl Automotive LT;Mishimoto;840197709948;15.24;16.51;22.86;0.96;Mishimoto,Borne,D-Ring,Shackle,Set,,Red,BNDR-RD,Mishimoto;Mishimoto Borne D-Ring Shackle Set, Red;Mishimoto,Borne,D-Ring,Shackle,Set,,Red,BNDR-RD,Mishimoto;Mishimoto-BNDR-RD;3
1;Mishimoto Borne Recovery Boards, 109x31x6cm, Black;81;78;44.55;BNRB-109BK;Resource Intl Automotive LT;Mishimoto;840197707036;15.24;110.49;31.75;8.91;Mishimoto,Borne,Recovery,Boards,,109x31x6cm,,Black,BNRB-109BK,Mishimoto;Mishimoto Borne Recovery Boards, 109x31x6cm, Black;Mishimoto,Borne,Recovery,Boards,,109x31x6cm,,Black,BNRB-109BK,Mishimoto;Mishimoto-BNRB-109BK;3
1;Mishimoto Borne Recovery Boards, 109x31x6cm, Blue;81;78;44.55;BNRB-109BL;Resource Intl Automotive LT;Mishimoto;840197707005;15.24;110.49;31.75;8.91;Mishimoto,Borne,Recovery,Boards,,109x31x6cm,,Blue,BNRB-109BL,Mishimoto;Mishimoto Borne Recovery Boards, 109x31x6cm, Blue;Mishimoto,Borne,Recovery,Boards,,109x31x6cm,,Blue,BNRB-109BL,Mishimoto;Mishimoto-BNRB-109BL;3
1;Mishimoto Borne Recovery Boards, 109x31x6cm, Green;81;78;44.55;BNRB-109GN;Resource Intl Automotive LT;Mishimoto;840197707012;15.24;110.49;31.75;8.91;Mishimoto,Borne,Recovery,Boards,,109x31x6cm,,Green,BNRB-109GN,Mishimoto;Mishimoto Borne Recovery Boards, 109x31x6cm, Green;Mishimoto,Borne,Recovery,Boards,,109x31x6cm,,Green,BNRB-109GN,Mishimoto;Mishimoto-BNRB-109GN;3
1;Mishimoto Borne Recovery Boards, 109x31x6cm, Neon Green;81;78;44.55;BNRB-109NG;Resource Intl Automotive LT;Mishimoto;840197707067;15.24;110.49;31.75;8.91;Mishimoto,Borne,Recovery,Boards,,109x31x6cm,,Neon,Green,BNRB-109NG,Mishimoto;Mishimoto Borne Recovery Boards, 109x31x6cm, Neon Green;Mishimoto,Borne,Recovery,Boards,,109x31x6cm,,Neon,Green,BNRB-109NG,Mishimoto;Mishimoto-BNRB-109NG;3
1;Mishimoto Borne Recovery Boards, 109x31x6cm, Olive;81;78;44.55;BNRB-109OD;Resource Intl Automotive LT;Mishimoto;840197707029;15.24;110.49;31.75;8.91;Mishimoto,Borne,Recovery,Boards,,109x31x6cm,,Olive,BNRB-109OD,Mishimoto;Mishimoto Borne Recovery Boards, 109x31x6cm, Olive;Mishimoto,Borne,Recovery,Boards,,109x31x6cm,,Olive,BNRB-109OD,Mishimoto;Mishimoto-BNRB-109OD;3
1;Mishimoto Borne Recovery Boards, 109x31x6cm, Orange;81;78;44.55;BNRB-109OR;Resource Intl Automotive LT;Mishimoto;840197707074;15.24;110.49;31.75;8.91;Mishimoto,Borne,Recovery,Boards,,109x31x6cm,,Orange,BNRB-109OR,Mishimoto;Mishimoto Borne Recovery Boards, 109x31x6cm, Orange;Mishimoto,Borne,Recovery,Boards,,109x31x6cm,,Orange,BNRB-109OR,Mishimoto;Mishimoto-BNRB-109OR;3
