SHOP_CODIGO|SHOP_ALIAS|SHOP_NOMBRE|SHOP_DIRECCION|PUEB_CODIGO_POSTAL|PUEB_CODIGO_NOMBRE|PAIS_CODIGO|SHOP_MAPA_LATITUD|SHOP_MAPA_LONGITUD|SHOP_HORARIO_LU|SHOP_HORARIO_MA|SHOP_HORARIO_MI|SHOP_HORARIO_JU|SHOP_HORARIO_VI|SHOP_HORARIO_SA|SHOP_HORARIO_DO|DIAFESTIVO
502|0100-00|0100-00 AGENCIA  0100 VITORIA|AVDA. DEL CANTÁBRICO Nº11, PAB Nº1|01013|VITORIA|ES|42,86479|-2,657049|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|||
2478|0100-06|TREBOLE|JULIÁN APRAIZ 4, BAJO|01012|VITORIA|ES|42,853733|-2,674073|09:00-14:00/17:30-20:30|09:00-14:00/-|09:00-14:00/-|09:00-14:00/-|09:00-14:00/-||09:30-13:00/-|
3103|0100-08|EUROKOPIA|FRANCIA, 21|01002|VITORIA|ES|42,848636|-2,668465|09:30-13:30/16:00-20:00|09:30-13:30/16:00-20:00|09:30-13:30/16:00-20:00|09:30-13:30/16:00-20:00|09:30-13:30/16:00-20:00|10:00-13:30/-||
3091|0100-09|EUROKOPIA CAMPUS|NIEVES CANO, 1, BAJOS|01006|VITORIA|ES|42,838501|-2,668893|09:00-14:00/-|09:00-13:30/16:00-20:00|09:00-13:30/16:00-20:00|09:00-13:30/16:00-20:00|09:00-13:30/16:00-20:00|||06/12/2024,25/12/2024
3088|0100-11|ESTANCO LUZURIAGA|PL MARTIN DE SALINAS, 1, BAJOS|01013|VITORIA|ES|42,855032|-2,670883|07:30-14:00/17:00-20:30|07:30-14:00/17:00-20:30|07:30-14:00/17:00-20:30|07:30-14:00/17:00-20:30|07:30-14:00/17:00-20:30|08:00-14:00/-||06/12/2024,25/12/2024
3203|0100-15|ESTANCO VITORIA -048|COMANDANTE IZARDUY, 26 BAJO|01006|VITORIA|ES|42,836997|-2,669064|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/-||
3466|0100-17|ESTANCO 44|NICARAGUA, 4 BJ|01012|VITORIA|ES|42,856063|-2,677902|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:30-14:00/-||
3417|0100-19|ESTANCO LA PIPA|BASOA, 4|01012|VITORIA|ES|42,854822|-2,676908|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/-|09:00-14:00/-|
5842|0100-30|MOBB REGALOS|RICARDO BUESA, 6, BAJO|01008|VITORIA|ES|42,848384|-2,679811|10:00-14:00/17:00-20:30|10:00-14:00/17:00-20:30|10:00-14:00/17:00-20:30|10:00-14:00/17:00-20:30|10:00-14:00/17:00-20:30|10:30-14:00/17:30-20:30||
7269|0100-33|TKB ALQUILER DE TRASTEROS|ARKATXA 1 PAB 138|01006|VITORIA|ES|42,834976|-2,656957|08:30/19:00|08:30/19:00|08:30/19:00|08:30/19:00|08:30/19:00|||06/12/2024,24/12/2024,25/12/2024,31/12/2024
1699|0102-00|0102-00 AGENCIA 0102 JUNDIZ|POL. IND. ALI.GOBEO,C/ DÜSSELDORF Nº 5, PAB 20|01010|VITORIA|ES|42,85322|-2,710490|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|||
3256|0102-02|ESTANCO ESPEJO|BILBAO, 42|01423|ESPEJO|ES|42,808533|-3,046618|11:00-22:00/-|11:00-22:00/-|11:00-22:00/-|11:00-22:00/-|11:00-22:00/-|11:00-22:00/-||
